province,sub-province,male,female,total,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,year
มุกดาหาร,เมืองมุกดาหาร,22.0,6.0,28.0,0.0,2.0,1.0,3.0,2.0,5.0,3.0,4.0,4.0,1.0,1.0,2.0,2022
มุกดาหาร,นิคมคำสร้อย,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022
มุกดาหาร,ดอนตาล,7.0,7.0,14.0,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,1.0,2022
มุกดาหาร,ดงหลวง,14.0,11.0,25.0,1.0,2.0,0.0,3.0,4.0,2.0,1.0,5.0,3.0,3.0,1.0,0.0,2022
มุกดาหาร,คำชะอี,6.0,1.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2022
มุกดาหาร,หว้านใหญ่,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2022
มุกดาหาร,หนองสูง,2.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2022
มุกดาหาร,เมืองมุกดาหาร,21.0,10.0,31.0,0.0,4.0,2.0,0.0,2.0,0.0,6.0,2.0,2.0,3.0,7.0,5.0,2023
มุกดาหาร,นิคมคำสร้อย,,,,,,,,,,,,,,,,2023
มุกดาหาร,ดอนตาล,7.0,4.0,11.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,2023
มุกดาหาร,ดงหลวง,14.0,5.0,19.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,3.0,3.0,2.0,2023
มุกดาหาร,คำชะอี,6.0,3.0,9.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2023
มุกดาหาร,หว้านใหญ่,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2023
มุกดาหาร,หนองสูง,2.0,7.0,9.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,2023
มุกดาหาร,เมืองมุกดาหาร,33.0,18.0,51.0,3.0,1.0,5.0,1.0,8.0,4.0,4.0,4.0,3.0,4.0,3.0,12.0,2024
