Province,Year_BE,Disease_Group,Total_Patients,Total_Visits,Civil_Servant_Patients,Civil_Servant_Visits,Social_Security_Patients,Social_Security_Visits,Universal_Coverage_Patients,Universal_Coverage_Visits,Foreigner_Patients,Foreigner_Visits,Other_Scheme_Patients,Other_Scheme_Visits
มุกดาหาร,2565,ADHD,1266,1482,81,95,40,48,1127,1319,1,1,19,19
มุกดาหาร,2565,Alcohol_Substance_Use,88795,99921,4389,4888,10612,11378,70486,79685,689,751,3052,3219
มุกดาหาร,2565,Autism_Spectrum_Disorder,1772,5291,179,533,49,174,1508,4484,14,21,44,79
มุกดาหาร,2565,Bipolar_Disorder,3730,4687,515,610,489,597,2639,3361,6,8,95,111
มุกดาหาร,2565,Dementia,7847,9169,2451,2867,168,192,5024,5862,11,11,212,237
มุกดาหาร,2565,Depression,35818,43465,3246,3788,3291,3622,28592,35147,134,156,692,752
มุกดาหาร,2565,Learning_Disorders,208,237,12,20,6,6,186,206,2,2,3,3
มุกดาหาร,2565,Schizophrenia,28958,38202,987,1260,1642,2017,25701,33857,54,77,712,991
มุกดาหาร,2565,Tobacco_Substance_Use,2569,2822,172,180,220,224,2102,2338,19,19,58,61
มุกดาหาร,2566,ADHD,1904,2267,149,200,48,53,1674,1970,5,9,34,35
มุกดาหาร,2566,Alcohol_Substance_Use,96693,109518,5207,5787,11692,12662,76406,87047,735,785,3025,3237
มุกดาหาร,2566,Autism_Spectrum_Disorder,2371,6947,210,506,80,460,2053,5899,20,27,46,55
มุกดาหาร,2566,Bipolar_Disorder,4344,5503,574,718,616,706,3045,3916,6,6,122,157
มุกดาหาร,2566,Dementia,10381,12347,3241,3914,243,291,6738,7930,12,13,173,199
มุกดาหาร,2566,Depression,46632,58458,4174,5015,4351,5027,37313,47283,136,159,863,974
มุกดาหาร,2566,Learning_Disorders,268,302,12,12,9,9,239,271,4,5,5,5
มุกดาหาร,2566,Schizophrenia,34164,46392,1260,1619,1986,2395,30277,41118,55,71,745,1189
มุกดาหาร,2566,Tobacco_Substance_Use,3479,3877,295,317,272,281,2857,3221,21,21,37,37
มุกดาหาร,2567,ADHD,2479,2941,179,231,67,77,2190,2581,3,3,43,49
