Province,Year_BE,Hospital_Code_Raw,Hospital_Code,Total_Patients,ICD_F00_F09,ICD_F10_F19,ICD_F20_F29,ICD_F30_F39,ICD_F40_F48,ICD_F50_F59,ICD_F60_F69,ICD_F70_F79,ICD_F80_F89,ICD_F90,ICD_Other,ICD_X60_X84
มุกดาหาร,2565,0 : 1B030,1B030,5.0,0,1,2,1,0,0,0,0,0,0,3,0
มุกดาหาร,2565,1 : 1B031,1B031,10.0,1,9,8,1,0,1,0,1,0,0,0,0
มุกดาหาร,2566,0 : 1B030,1B030,4.0,0,1,1,1,0,0,0,0,0,0,2,0
มุกดาหาร,2566,1 : 1B031,1B031,27.0,2,21,25,7,1,2,0,0,0,0,0,0
มุกดาหาร,2566,2 : 1B032,1B032,8.0,0,2,6,4,0,0,0,0,0,0,0,0
มุกดาหาร,2566,3 : 1B033,1B033,2.0,0,1,2,0,0,0,0,0,0,0,0,0
มุกดาหาร,2567,0 : 1B030,1B030,79.0,0,27,29,43,6,1,0,0,0,0,14,6
มุกดาหาร,2567,1 : 1B031,1B031,283.0,7,224,250,51,5,4,0,6,2,2,6,0
มุกดาหาร,2567,2 : 1B032,1B032,56.0,1,45,45,13,2,0,0,4,0,1,0,0
มุกดาหาร,2567,3 : 1B033,1B033,8.0,0,6,6,2,0,0,0,0,0,0,0,0
มุกดาหาร,2568,0 : 1B030,1B030,170.0,0,0,0,0,0,0,0,0,0,0,0,0
มุกดาหาร,2568,1 : 1B031,1B031,711.0,0,0,0,0,0,0,0,0,0,0,0,0
มุกดาหาร,2568,2 : 1B032,1B032,266.0,0,0,0,0,0,0,0,0,0,0,0,0
มุกดาหาร,2568,3 : 1B033,1B033,9.0,0,0,0,0,0,0,0,0,0,0,0,0
มุกดาหาร,2569,0 : 1B030,1B030,54.0,0,21,22,35,11,1,0,0,0,1,1,18
มุกดาหาร,2569,1 : 1B031,1B031,394.0,5,287,253,73,12,6,2,3,0,3,20,8
มุกดาหาร,2569,2 : 1B032,1B032,80.0,1,53,57,26,0,5,0,1,0,0,3,0
มุกดาหาร,2569,3 : 1B033,1B033,5.0,0,2,4,2,0,1,0,0,0,0,0,0
ยโสธร,2565,0 : 1B030,1B030,23.0,1,0,0,1,0,0,0,0,0,0,21,0
ยโสธร,2565,3 : 1B033,1B033,1.0,0,0,0,0,0,0,0,0,0,0,1,0
ยโสธร,2566,0 : 1B030,1B030,47.0,1,8,9,10,1,0,0,0,0,0,30,2
ยโสธร,2566,1 : 1B031,1B031,102.0,2,18,22,11,2,1,0,1,0,0,74,0
ยโสธร,2566,2 : 1B032,1B032,27.0,1,9,8,7,0,0,0,0,0,0,15,0
ยโสธร,2566,3 : 1B033,1B033,211.0,1,3,5,5,7,1,0,0,0,0,194,0
ยโสธร,2567,0 : 1B030,1B030,46.0,1,11,8,24,2,1,0,0,0,0,16,3
ยโสธร,2567,1 : 1B031,1B031,171.0,11,119,136,53,2,6,0,19,0,2,2,1
ยโสธร,2567,2 : 1B032,1B032,126.0,15,86,116,34,2,5,0,11,0,2,1,0
ยโสธร,2567,3 : 1B033,1B033,7.0,2,5,5,2,0,1,0,1,0,1,0,0
ยโสธร,2568,0 : 1B030,1B030,24.0,1,10,7,9,2,0,0,2,0,1,5,3
ยโสธร,2568,1 : 1B031,1B031,78.0,12,57,70,15,1,1,0,5,0,0,0,0
ยโสธร,2568,2 : 1B032,1B032,84.0,7,70,67,9,1,1,0,8,0,2,0,1
ยโสธร,2568,3 : 1B033,1B033,1.0,0,0,1,0,0,0,0,0,0,0,0,0
ยโสธร,2569,0 : 1B030,1B030,36.0,1,12,9,16,0,1,0,3,0,0,11,9
ยโสธร,2569,1 : 1B031,1B031,173.0,16,140,136,51,3,3,0,54,0,3,0,3
ยโสธร,2569,2 : 1B032,1B032,50.0,7,40,32,13,0,1,0,3,0,1,2,0
ยโสธร,2569,3 : 1B033,1B033,2.0,1,2,1,0,0,0,0,0,0,0,0,0
ศรีสะเกษ,2565,0 : 1B030,1B030,11.0,0,1,2,2,0,1,0,0,0,0,8,1
ศรีสะเกษ,2565,1 : 1B031,1B031,5.0,0,4,3,3,0,0,0,0,0,0,0,0
ศรีสะเกษ,2565,2 : 1B032,1B032,3.0,0,3,2,0,0,0,0,0,0,0,0,0
ศรีสะเกษ,2566,0 : 1B030,1B030,15.0,1,3,3,8,1,0,0,0,0,0,5,1
ศรีสะเกษ,2566,1 : 1B031,1B031,61.0,9,30,58,12,0,0,2,2,0,0,1,0
ศรีสะเกษ,2566,2 : 1B032,1B032,19.0,1,9,18,5,0,0,0,0,0,0,1,0
ศรีสะเกษ,2567,0 : 1B030,1B030,17.0,0,4,6,4,0,0,1,0,0,0,5,2
ศรีสะเกษ,2567,1 : 1B031,1B031,24.0,0,15,16,9,0,0,1,1,0,0,0,1
ศรีสะเกษ,2567,2 : 1B032,1B032,12.0,0,9,11,1,0,1,0,0,0,0,0,0
ศรีสะเกษ,2567,3 : 1B033,1B033,1.0,0,0,0,0,0,0,0,0,0,0,1,0
ศรีสะเกษ,2568,0 : 1B030,1B030,81.0,0,28,27,51,13,5,1,0,0,3,9,20
ศรีสะเกษ,2568,1 : 1B031,1B031,433.0,27,302,377,84,16,25,10,5,0,6,1,7
ศรีสะเกษ,2568,2 : 1B032,1B032,90.0,3,53,83,16,2,2,2,4,0,1,0,0
ศรีสะเกษ,2568,3 : 1B033,1B033,3.0,0,0,2,0,0,1,0,0,0,0,0,0
ศรีสะเกษ,2569,0 : 1B030,1B030,38.0,0,6,18,16,3,1,1,0,0,0,11,4
ศรีสะเกษ,2569,1 : 1B031,1B031,213.0,5,135,196,50,8,10,4,4,0,2,0,5
ศรีสะเกษ,2569,2 : 1B032,1B032,37.0,0,24,33,3,1,0,0,1,0,1,0,1
ศรีสะเกษ,2569,3 : 1B033,1B033,1.0,0,0,0,0,0,0,0,0,0,0,1,0
อำนาจเจริญ,2565,0 : 1B030,1B030,3.0,0,1,1,0,0,0,0,0,0,0,2,1
อำนาจเจริญ,2565,1 : 1B031,1B031,12.0,0,7,12,3,0,0,0,0,0,0,0,0
อำนาจเจริญ,2565,3 : 1B033,1B033,3.0,0,0,3,0,0,0,0,0,0,0,0,0
อำนาจเจริญ,2566,0 : 1B030,1B030,49.0,0,7,9,45,6,3,3,0,0,0,0,2
อำนาจเจริญ,2566,1 : 1B031,1B031,54.0,0,35,44,17,0,1,0,2,1,0,1,0
อำนาจเจริญ,2566,2 : 1B032,1B032,10.0,1,9,5,2,0,0,0,0,0,0,0,0
อำนาจเจริญ,2566,3 : 1B033,1B033,4.0,0,2,4,1,0,0,1,0,0,0,0,0
อำนาจเจริญ,2567,0 : 1B030,1B030,159.0,1,23,19,99,7,2,4,0,0,2,47,10
