Province,Year_BE,ICD_Code,Disease_Group_TH,Disease_Group_EN,Total_Patients,Total_Visits,Civil_Servant_Patients,Civil_Servant_Visits,Social_Security_Patients,Social_Security_Visits,Universal_Coverage_Patients,Universal_Coverage_Visits,Foreigner_Patients,Foreigner_Visits,Other_Scheme_Patients,Other_Scheme_Visits
มุกดาหาร,2565,F00-F03,โรคสมองเสื่อม,Dementia,243,742,71,226,6,18,164,491,0,0,5,7
มุกดาหาร,2565,F00-F09,ความผิดปกติทางจิตและอาการทางจิตที่เกิดจากโรคทางกาย,Organic_Mental_Disorders,448,1307,95,296,14,32,329,959,0,0,14,20
มุกดาหาร,2565,F10,เสพสุรา,Alcohol_Substance_Use,978,2712,64,192,107,242,795,2207,1,1,37,70
มุกดาหาร,2565,F10-F19,ความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการใช้สารออกฤทธิ์ต่อจิตประสาท,Mental_Behavioral_Disorders_Due_To_Substance_Use,2499,10910,84,235,451,2510,2031,7977,4,4,76,184
มุกดาหาร,2565,F17,เสพบุหรี่,Tobacco_Substance_Use,54,109,3,5,8,11,42,92,0,0,1,1
มุกดาหาร,2565,F20,โรคจิตเภท,Schizophrenia,2837,15443,53,200,109,429,2646,14607,5,22,93,185
มุกดาหาร,2565,F20-F29,โรคจิตเภท พฤติกรรมแบบโรคจิตเภท และโรคหลงผิด,Schizophrenia_Schizotypal_Delusional_Disorders,4044,20918,99,364,162,585,3730,19614,7,31,154,324
มุกดาหาร,2565,F30-F39,ความผิดปกติทางอารมณ์,Mood_Disorders,2855,9212,337,1058,252,585,2273,7357,6,17,108,195
มุกดาหาร,2565,F31,ไบโพล่า,Bipolar_Disorder,127,601,23,114,15,49,85,425,0,0,9,13
มุกดาหาร,2565,"F32,F33,F34.1,F38,F39",โรคซึมเศร้า,Depression,2746,8603,317,946,239,538,2199,6920,6,17,101,182
มุกดาหาร,2565,F40-F48,โรคประสาท ความผิดปกติที่สัมพันธ์กับความเครียด และโรคโซมาโตฟอร์ม,Neurotic_Stress_Related_Somatoform_Disorders,1945,3677,226,488,135,229,1517,2849,4,6,80,105
