Province,Year_BE,Population_Over_15,Prevalence_Rate_Percentage,Estimated_Patients_Count_B,Cumulative_Diagnosed_Treated_In_Province,Access_Rate_By_Province_Treatment_Percentage,Cumulative_Patients_Registered_In_Province_A,Access_Rate_By_Registered_Province_Percentage,Current_FY_Active_Patients_Registered_In_Province_C,Current_FY_Access_Rate_Percentage,Registered_Outside_Province_Count
มุกดาหาร,2565,289626,0.8,2317,3978,171.69,4144,178.85,2071,89.38,27
มุกดาหาร,2566,291581,0.8,2333,3901,167.21,4051,173.64,2158,92.5,21
มุกดาหาร,2567,291581,0.8,2333,4157,178.18,4287,183.75,2267,97.17,20
มุกดาหาร,2568,291581,0.8,2333,4323,185.3,4261,182.64,2237,95.89,20
มุกดาหาร,2569,291581,0.8,2333,4472,191.68,4404,188.77,2132,91.38,19
ยโสธร,2565,453053,0.8,3624,4991,137.72,5255,145.01,2483,68.52,21
ยโสธร,2566,453581,0.8,3629,4600,126.76,4819,132.79,2349,64.73,20
ยโสธร,2567,453581,0.8,3629,4826,132.98,5007,137.97,2396,66.02,18
ยโสธร,2568,453581,0.8,3629,5056,139.32,5196,143.18,2455,67.65,17
ยโสธร,2569,453581,0.8,3629,5180,142.74,5303,146.13,2278,62.77,17
ศรีสะเกษ,2565,1215316,0.8,9723,11899,122.38,12771,131.35,6348,65.29,133
ศรีสะเกษ,2566,1219915,0.8,9759,11329,116.09,12044,123.41,6341,64.98,160
ศรีสะเกษ,2567,1219915,0.8,9759,11829,121.21,12488,127.96,6534,66.95,151
ศรีสะเกษ,2568,1219915,0.8,9759,12541,128.51,13120,134.44,6776,69.43,152
ศรีสะเกษ,2569,1219915,0.8,9759,12907,132.26,13456,137.88,6126,62.77,157
อำนาจเจริญ,2565,315086,0.8,2521,3461,137.29,3672,145.66,1678,66.56,19
อำนาจเจริญ,2566,316385,0.8,2531,3296,130.23,3471,137.14,1745,68.95,18
อำนาจเจริญ,2567,316385,0.8,2531,3464,136.86,3615,142.83,1749,69.1,18
อำนาจเจริญ,2568,316385,0.8,2531,3606,142.47,3736,147.61,1703,67.29,18
อำนาจเจริญ,2569,316385,0.8,2531,3687,145.67,3802,150.22,1623,64.12,18
อุบลราชธานี,2565,1542646,0.8,12341,20299,164.48,17771,144,7988,64.73,20
อุบลราชธานี,2566,1551253,0.8,12410,20174,162.56,17370,139.97,8174,65.87,40
อุบลราชธานี,2567,1551253,0.8,12410,21254,171.27,18249,147.05,8509,68.57,41
อุบลราชธานี,2568,1551253,0.8,12410,22422,180.68,19233,154.98,8642,69.64,46
อุบลราชธานี,2569,1551253,0.8,12410,23005,185.37,19718,158.89,8079,65.1,46
