Province,Year_BE,Population_Over_15,Prevalence_Rate_Percentage,Estimated_Patients_Count_B,Cumulative_Diagnosed_Treated_In_Province,Access_Rate_By_Province_Treatment_Percentage,Cumulative_Patients_Registered_In_Province_A,Access_Rate_By_Registered_Province_Percentage,Current_FY_Active_Patients_Registered_In_Province_C,Current_FY_Access_Rate_Percentage,Registered_Outside_Province_Count
มุกดาหาร,2565,289626,2.7,7820,10562,135.06,10716,137.03,1980,25.32,35
มุกดาหาร,2566,291581,2.7,7873,10400,132.1,10474,133.04,1841,23.38,32
มุกดาหาร,2567,291581,2.7,7873,10808,137.28,10812,137.33,1787,22.7,33
มุกดาหาร,2568,291581,2.7,7873,10911,138.59,10706,135.98,1589,20.18,34
มุกดาหาร,2569,291581,2.7,7873,11195,142.19,10964,139.26,1552,19.71,33
ยโสธร,2565,453053,2.7,12232,13220,108.08,13808,112.88,2453,20.05,8
ยโสธร,2566,453581,2.7,12247,12433,101.52,12908,105.4,2118,17.29,8
ยโสธร,2567,453581,2.7,12247,12888,105.23,13311,108.69,2218,18.11,8
ยโสธร,2568,453581,2.7,12247,13224,107.98,13571,110.81,2146,17.52,8
ยโสธร,2569,453581,2.7,12247,13473,110.01,13784,112.55,1879,15.34,8
ศรีสะเกษ,2565,1215316,2.7,32814,27779,84.66,29681,90.45,5564,16.96,8
ศรีสะเกษ,2566,1219915,2.7,32938,27526,83.57,28966,87.94,6266,19.02,10
ศรีสะเกษ,2567,1219915,2.7,32938,29224,88.72,30405,92.31,6441,19.55,9
ศรีสะเกษ,2568,1219915,2.7,32938,30642,93.03,31707,96.26,6250,18.98,8
ศรีสะเกษ,2569,1219915,2.7,32938,31789,96.51,32810,99.61,5331,16.18,8
อำนาจเจริญ,2565,315086,2.7,8507,7113,83.61,7954,93.5,1463,17.2,9
อำนาจเจริญ,2566,316385,2.7,8542,7131,83.48,7879,92.24,1566,18.33,8
อำนาจเจริญ,2567,316385,2.7,8542,7627,89.29,8309,97.27,1542,18.05,8
อำนาจเจริญ,2568,316385,2.7,8542,8017,93.85,8624,100.96,1387,16.24,8
อำนาจเจริญ,2569,316385,2.7,8542,8201,96.01,8790,102.9,1122,13.14,8
อุบลราชธานี,2565,1542646,2.7,41651,46822,112.42,42988,103.21,7777,18.67,10
อุบลราชธานี,2566,1551253,2.7,41884,46468,110.94,42352,101.12,8349,19.93,10
อุบลราชธานี,2567,1551253,2.7,41884,48578,115.98,44215,105.57,8667,20.69,12
อุบลราชธานี,2568,1551253,2.7,41884,51289,122.45,46419,110.83,8496,20.28,14
อุบลราชธานี,2569,1551253,2.7,41884,52517,125.39,47460,113.31,7125,17.01,15
