Province,District,Year_BE,Cumulative_Schizophrenia_Patients,Five_Year_Cumulative_Service_B,First_Followup_Self_Tracked,First_Followup_Other_Tracked,First_Followup_Total_A1,First_Followup_Percentage,Continuous_Care_Self_Tracked,Continuous_Care_Other_Tracked,Continuous_Care_Total_A2,Continuous_Care_Percentage
มุกดาหาร,คำชะอี,2566,610,422,148,59,207,49.05,132,50,182,43.13
มุกดาหาร,คำชะอี,2567,680,454,175,60,235,51.76,160,52,212,46.7
มุกดาหาร,คำชะอี,2568,817,621,338,98,436,70.21,305,98,403,64.9
มุกดาหาร,คำชะอี,2569,841,674,344,104,448,66.47,322,97,419,62.17
มุกดาหาร,ดงหลวง,2566,428,236,67,16,83,35.17,44,16,60,25.42
มุกดาหาร,ดงหลวง,2567,459,247,88,22,110,44.53,79,21,100,40.49
มุกดาหาร,ดงหลวง,2568,544,356,144,66,210,58.99,130,65,195,54.78
มุกดาหาร,ดงหลวง,2569,555,383,136,76,212,55.35,126,71,197,51.44
มุกดาหาร,ดอนตาล,2566,331,201,61,23,84,41.79,33,12,45,22.39
มุกดาหาร,ดอนตาล,2567,361,224,84,36,120,53.57,68,32,100,44.64
มุกดาหาร,ดอนตาล,2568,490,311,134,72,206,66.24,117,61,178,57.23
มุกดาหาร,ดอนตาล,2569,525,349,120,82,202,57.88,104,77,181,51.86
มุกดาหาร,นิคมคำสร้อย,2566,258,200,79,24,103,51.5,62,21,83,41.5
มุกดาหาร,นิคมคำสร้อย,2567,271,188,76,27,103,54.79,72,21,93,49.47
มุกดาหาร,นิคมคำสร้อย,2568,359,279,98,87,185,66.31,95,75,170,60.93
มุกดาหาร,นิคมคำสร้อย,2569,359,291,102,81,183,62.89,88,82,170,58.42
มุกดาหาร,หนองสูง,2566,213,137,56,8,64,46.72,41,7,48,35.04
มุกดาหาร,หนองสูง,2567,219,136,56,11,67,49.26,50,10,60,44.12
มุกดาหาร,หนองสูง,2568,257,207,119,24,143,69.08,109,23,132,63.77
มุกดาหาร,หนองสูง,2569,267,214,122,24,146,68.22,115,22,137,64.02
มุกดาหาร,หว้านใหญ่,2566,270,177,78,17,95,53.67,69,14,83,46.89
มุกดาหาร,หว้านใหญ่,2567,284,181,83,16,99,54.7,76,18,94,51.93
มุกดาหาร,หว้านใหญ่,2568,334,246,148,23,171,69.51,144,22,166,67.48
มุกดาหาร,หว้านใหญ่,2569,344,247,133,30,163,65.99,133,26,159,64.37
มุกดาหาร,เมืองมุกดาหาร,2566,1784,1153,430,215,645,55.94,267,168,435,37.73
