Fiscal Year,Province,Population Aged 6-15 Years (1),Prevalence Rate (2),Estimated Number of Patients (3),Cumulative Number of Patients (4),Access Rate (5),Patients Receiving Services (6),Current Access Rate (7),Registered Address Outside Province (8)
2568,อุบลราชธานี,217674,2,4353,1763,40.5,633,14.54,14
2568,อำนาจเจริญ,41018,2,820,338,41.22,73,8.9,0
2568,ศรีสะเกษ,163590,2,3271,1159,35.43,403,12.32,12
2568,ยโสธร,55264,2,1105,372,33.67,118,10.68,2
2568,มุกดาหาร,40286,2,805,594,73.79,60,7.45,2
2569,อุบลราชธานี,212143,2,4242,1674,39.46,469,11.06,
2569,อำนาจเจริญ,39953,2,799,320,40.05,58,7.26,
2569,ศรีสะเกษ,158575,2,3171,1142,36.01,344,10.85,
2569,ยโสธร,53744,2,1074,351,32.68,122,11.36,
2569,มุกดาหาร,39328,2,786,537,68.32,54,6.87,
