Province,Fiscal Year,District,Previous Year Violence (B),Current Year Violence (A),Ratio (%)
Yasothon,2565,เมืองยโสธร,0,0,0
Yasothon,2565,ทรายมูล,0,0,0
Yasothon,2565,กุดชุม,0,0,0
Yasothon,2565,คำเขื่อนแก้ว,0,0,0
Yasothon,2565,ป่าติ้ว,0,0,0
Yasothon,2565,มหาชนะชัย,0,0,0
Yasothon,2565,ค้อวัง,0,0,0
Yasothon,2565,เลิงนกทา,0,0,0
Yasothon,2565,ไทยเจริญ,0,0,0
Yasothon,2565,รวม,0,0,0
Yasothon,2566,เมืองยโสธร,0,0,0
Yasothon,2566,ทรายมูล,0,0,0
Yasothon,2566,กุดชุม,0,0,0
Yasothon,2566,คำเขื่อนแก้ว,0,0,0
Yasothon,2566,ป่าติ้ว,0,0,0
Yasothon,2566,มหาชนะชัย,0,0,0
Yasothon,2566,ค้อวัง,0,0,0
Yasothon,2566,เลิงนกทา,0,0,0
Yasothon,2566,ไทยเจริญ,0,0,0
Yasothon,2566,รวม,0,0,0
Yasothon,2567,เมืองยโสธร,0,0,0
Yasothon,2567,ทรายมูล,0,0,0
Yasothon,2567,กุดชุม,0,0,0
Yasothon,2567,คำเขื่อนแก้ว,0,0,0
Yasothon,2567,ป่าติ้ว,0,0,0
Yasothon,2567,มหาชนะชัย,0,0,0
Yasothon,2567,ค้อวัง,0,0,0
Yasothon,2567,เลิงนกทา,0,0,0
Yasothon,2567,ไทยเจริญ,0,0,0
Yasothon,2567,รวม,0,0,0
Yasothon,2568,เมืองยโสธร,0,0,0
Yasothon,2568,ทรายมูล,0,0,0
Yasothon,2568,กุดชุม,0,0,0
Yasothon,2568,คำเขื่อนแก้ว,0,0,0
Yasothon,2568,ป่าติ้ว,0,0,0
Yasothon,2568,มหาชนะชัย,0,0,0
Yasothon,2568,ค้อวัง,0,0,0
Yasothon,2568,เลิงนกทา,0,0,0
Yasothon,2568,ไทยเจริญ,0,0,0
Yasothon,2568,รวม,0,0,0
Yasothon,2569,เมืองยโสธร,0,0,0
Yasothon,2569,ทรายมูล,0,0,0
Yasothon,2569,กุดชุม,0,0,0
Yasothon,2569,คำเขื่อนแก้ว,0,0,0
Yasothon,2569,ป่าติ้ว,0,0,0
Yasothon,2569,มหาชนะชัย,0,0,0
Yasothon,2569,ค้อวัง,0,0,0
Yasothon,2569,เลิงนกทา,0,0,0
Yasothon,2569,ไทยเจริญ,0,0,0
Yasothon,2569,รวม,0,0,0
Mukdahan,2565,เมืองมุกดาหาร,0,0,0
Mukdahan,2565,นิคมคำสร้อย,0,0,0
Mukdahan,2565,ดอนตาล,0,0,0
Mukdahan,2565,ดงหลวง,0,0,0
Mukdahan,2565,คำชะอี,0,0,0
Mukdahan,2565,หว้านใหญ่,0,0,0
Mukdahan,2565,หนองสูง,0,0,0
Mukdahan,2565,รวม,0,0,0
Mukdahan,2566,เมืองมุกดาหาร,0,0,0
Mukdahan,2566,นิคมคำสร้อย,0,0,0
Mukdahan,2566,ดอนตาล,0,0,0
Mukdahan,2566,ดงหลวง,0,0,0
Mukdahan,2566,คำชะอี,0,0,0
Mukdahan,2566,หว้านใหญ่,0,0,0
Mukdahan,2566,หนองสูง,0,0,0
Mukdahan,2566,รวม,0,0,0
Mukdahan,2567,เมืองมุกดาหาร,0,0,0
Mukdahan,2567,นิคมคำสร้อย,0,0,0
Mukdahan,2567,ดอนตาล,0,0,0
Mukdahan,2567,ดงหลวง,0,0,0
Mukdahan,2567,คำชะอี,0,0,0
Mukdahan,2567,หว้านใหญ่,0,0,0
Mukdahan,2567,หนองสูง,0,0,0
Mukdahan,2567,รวม,0,0,0
Mukdahan,2568,เมืองมุกดาหาร,0,0,0
Mukdahan,2568,นิคมคำสร้อย,0,0,0
Mukdahan,2568,ดอนตาล,0,0,0
Mukdahan,2568,ดงหลวง,0,0,0
Mukdahan,2568,คำชะอี,0,0,0
Mukdahan,2568,หว้านใหญ่,0,0,0
Mukdahan,2568,หนองสูง,0,0,0
Mukdahan,2568,รวม,0,0,0
Mukdahan,2569,เมืองมุกดาหาร,0,0,0
Mukdahan,2569,นิคมคำสร้อย,0,0,0
Mukdahan,2569,ดอนตาล,0,0,0
Mukdahan,2569,ดงหลวง,0,0,0
Mukdahan,2569,คำชะอี,0,0,0
Mukdahan,2569,หว้านใหญ่,0,0,0
Mukdahan,2569,หนองสูง,0,0,0
Mukdahan,2569,รวม,0,0,0
Amnat Charoen,2565,เมืองอำนาจเจริญ,0,0,0
Amnat Charoen,2565,ชานุมาน,0,0,0
Amnat Charoen,2565,ปทุมราชวงศา,0,0,0
Amnat Charoen,2565,พนา,0,0,0
Amnat Charoen,2565,เสนางคนิคม,0,0,0
Amnat Charoen,2565,หัวตะพาน,0,0,0
