Province,Year_BE,All_Ages_Population_B,All_Ages_Cumulative_Cases_Before_Year_C,All_Ages_New_Cases_In_Year_A,All_Ages_Incidence_Rate_Per_100k,All_Ages_Total_Active_Cases_In_Year_D,All_Ages_Prevalence_Percentage,Age_0_4_Population_B,Age_0_4_Cumulative_Cases_Before_Year_C,Age_0_4_New_Cases_In_Year_A,Age_0_4_Incidence_Rate_Per_100k,Age_0_4_Total_Active_Cases_In_Year_D,Age_0_4_Prevalence_Percentage,Age_5_14_Population_B,Age_5_14_Cumulative_Cases_Before_Year_C,Age_5_14_New_Cases_In_Year_A,Age_5_14_Incidence_Rate_Per_100k,Age_5_14_Total_Active_Cases_In_Year_D,Age_5_14_Prevalence_Percentage,Age_15_19_Population_B,Age_15_19_Cumulative_Cases_Before_Year_C,Age_15_19_New_Cases_In_Year_A,Age_15_19_Incidence_Rate_Per_100k,Age_15_19_Total_Active_Cases_In_Year_D,Age_15_19_Prevalence_Percentage,Age_20_59_Population_B,Age_20_59_Cumulative_Cases_Before_Year_C,Age_20_59_New_Cases_In_Year_A,Age_20_59_Incidence_Rate_Per_100k,Age_20_59_Total_Active_Cases_In_Year_D,Age_20_59_Prevalence_Percentage,Age_60_Plus_Population_B,Age_60_Plus_Cumulative_Cases_Before_Year_C,Age_60_Plus_New_Cases_In_Year_A,Age_60_Plus_Incidence_Rate_Per_100k,Age_60_Plus_Total_Active_Cases_In_Year_D,Age_60_Plus_Prevalence_Percentage,New_Cases_Monthly_Jan,New_Cases_Monthly_Feb,New_Cases_Monthly_Mar,New_Cases_Monthly_Apr,New_Cases_Monthly_May,New_Cases_Monthly_Jun,New_Cases_Monthly_Jul,New_Cases_Monthly_Aug,New_Cases_Monthly_Sep,New_Cases_Monthly_Oct,New_Cases_Monthly_Nov,New_Cases_Monthly_Dec
มุกดาหาร,2567,347165,458,82,23.65,540,0.16,14660,3,2,13.65,5,0.03,40302,36,9,22.35,45,0.11,22094,53,20,90.74,73,0.33,210328,321,45,21.43,366,0.17,59781,45,6,10.04,51,0.09,3,13,5,6,10,5,3,6,12,5,8,6
มุกดาหาร,2568,345948,537,39,11.29,576,0.17,13799,4,0,0,4,0.03,39317,32,7,17.82,39,0.1,21805,72,6,27.61,78,0.36,208719,374,22,10.56,396,0.19,62308,55,4,6.43,59,0.09,2,3,8,5,9,7,5,0,0,0,0,0
มุกดาหาร,2569,345088,590,13,3.77,603,0.17,12823,3,1,7.8,4,0.03,38214,37,0,0,37,0.1,21495,77,4,18.68,81,0.38,207551,410,6,2.9,416,0.2,65005,63,2,3.08,65,0.1,3,3,3,3,1,0,0,0,0,0,0,0
ยโสธร,2567,527765,502,164,31.1,666,0.13,19817,5,2,10.09,7,0.04,55393,42,29,52.39,71,0.13,30221,96,31,102.9,127,0.42,317104,305,80,25.25,385,0.12,105230,54,22,20.92,76,0.07,10,12,18,21,12,15,8,14,15,22,9,8
ยโสธร,2568,524123,657,89,17,746,0.14,18677,5,1,5.36,6,0.03,53812,47,8,14.88,55,0.1,29600,126,21,71.25,147,0.5,313047,405,48,15.35,453,0.14,108987,74,11,10.1,85,0.08,5,7,10,14,8,14,10,4,10,7,0,0
ยโสธร,2569,521615,763,44,8.45,807,0.15,17322,5,0,0,5,0.03,52172,41,4,7.67,45,0.09,29494,146,13,44.3,159,0.54,309319,477,25,8.09,502,0.16,113308,94,2,1.77,96,0.08,16,8,11,7,2,0,0,0,0,0,0,0
ศรีสะเกษ,2567,1446659,2632,750,51.94,3382,0.23,59639,32,32,53.68,64,0.11,163929,266,141,86.15,407,0.25,89898,449,141,157.63,590,0.66,861494,1486,319,37.09,1805,0.21,271699,399,117,43.13,516,0.19,57,73,74,56,47,80,65,58,54,78,58,50
ศรีสะเกษ,2568,1438036,3371,509,35.48,3880,0.27,56276,41,11,19.56,52,0.09,158838,328,79,49.84,407,0.26,89152,598,85,95.99,683,0.77,852208,1869,233,27.4,2102,0.25,281562,535,101,35.94,636,0.23,60,57,66,69,56,54,54,39,54,0,0,0
ศรีสะเกษ,2569,1432967,4035,218,15.26,4253,0.3,52238,31,9,17.24,40,0.08,154017,374,29,18.87,403,0.26,88658,697,46,52.3,743,0.84,845411,2256,99,11.74,2355,0.28,292643,677,35,11.99,712,0.24,72,52,37,47,10,0,0,0,0,0,0,0
อำนาจเจริญ,2567,372965,511,91,24.43,602,0.16,15358,4,5,32.56,9,0.06,41080,37,20,48.73,57,0.14,22664,90,14,62.02,104,0.46,223450,308,48,21.51,356,0.16,70413,72,4,5.69,76,0.11,11,9,10,4,9,2,6,9,11,8,5,7
อำนาจเจริญ,2568,370951,598,74,19.98,672,0.18,14596,5,0,0,5,0.03,40054,48,12,30,60,0.15,22045,93,16,72.89,109,0.49,220792,378,36,16.33,414,0.19,73464,74,10,13.63,84,0.11,3,9,6,6,6,7,6,18,4,8,1,0
อำนาจเจริญ,2569,369407,678,18,4.88,696,0.19,13379,4,0,0,4,0.03,39062,47,0,0,47,0.12,21726,108,4,18.5,112,0.52,218731,429,11,5.04,440,0.2,76509,90,3,3.93,93,0.12,4,4,3,4,3,0,0,0,0,0,0,0
อุบลราชธานี,2567,1856780,0,129,6.95,129,0.01,82054,0,6,7.31,6,0.01,217764,0,20,9.18,20,0.01,121464,0,18,14.82,18,0.01,1111332,0,69,6.21,69,0.01,324166,0,16,4.94,16,0,0,0,0,0,0,0,0,0,0,61,32,36
อุบลราชธานี,2568,1854813,1821,309,16.68,2130,0.11,77534,29,12,15.48,41,0.05,212371,168,47,22.15,215,0.1,121081,283,51,42.22,334,0.28,1106528,1098,150,13.57,1248,0.11,337299,243,49,14.54,292,0.09,51,38,25,25,38,27,51,22,32,0,0,0
อุบลราชธานี,2569,1852385,2195,107,5.78,2302,0.12,72401,29,2,2.76,31,0.04,206498,183,16,7.76,199,0.1,119466,344,15,12.59,359,0.3,1102493,1326,60,5.45,1386,0.13,351527,313,14,3.99,327,0.09,19,32,33,21,2,0,0,0,0,0,0,0
